"Link","Affiliations","Publisher","Abbreviated Source Title"
"https://www.scopus.com/pages/publications/85218417400?origin=resultslist","Department of Electrical Engineering, Politecnico di Milano University, Milan, Italy; Tehran, Iran; Advanced Power & Energy Center, EECS Department, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Energy (AAU Energy), Aalborg University, Aalborg, 9220, Denmark; Department of Electrical and Electronic Engineering, University of Manchester, Manchester, United Kingdom","Elsevier Ltd","Energy"
"https://www.scopus.com/pages/publications/105004915038?origin=resultslist","School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, 100044, China","Multidisciplinary Digital Publishing Institute (MDPI)","Sensors"
"https://www.scopus.com/pages/publications/85217914492?origin=resultslist","Department of Electrical and Electronics Engineering, Saveetha School of Engineering, SIMATS, Saveetha University, Tamilnadu, Chennai, 602105, India; Department of Energy and Environmental Engineering, Saveetha School of Engineering, SIMATS, Saveetha University, Tamilnadu, Chennai, 602105, India; Department of Mechanical Engineering, Sathyabama Institute of Science and Technology, Tamilnadu, Chennai, 600119, India; Department of Biotechnology, Saveetha School of Engineering, SIMATS, Chennai, 602105, India","Elsevier B.V.","Energy Sustainable Dev."
"https://www.scopus.com/pages/publications/86000001088?origin=resultslist","Universidad de Sancti Spíritus “José Martí Pérez” Centro de Estudios de Energía y Procesos Industriales, Sancti Spiritus, Cuba; Universidad de Cienfuegos “Carlos Rafael Rodríguez” Centro de Estudios de Energía y Medio Ambiente, Cienfuegos, Cuba; SRH Hochschule Berlin | SRH · Department of Business Administration, Berlin, Germany","Springer","Smart Grids Sustain. Energy"
"https://www.scopus.com/pages/publications/85212941975?origin=resultslist","College of Mechanical and Electronic Engineering, China University of Petroleum, Shandong, Qingdao, China; LISES- Laboratory of Industrial Safety and Environmental Sustainability - Department of Civil, Chemical, Environmental and Materials Engineering, University of Bologna, Bologna, Italy; Department of Mechanical and Industrial Engineering, Norwegian University of Science and Technology, Trondheim, Norway","Elsevier Ltd","Reliab Eng Syst Saf"
"https://www.scopus.com/pages/publications/85217673283?origin=resultslist","College of Chemistry and Chemical Engineering, Ocean University of China, Shandong, Qingdao, 266100, China; Shandong Chambroad Petrochemicals Co., Ltd., Binzhou, 256500, China; State Key Laboratory of Heavy Oil Processing, China University of Petroleum, Shandong, Qingdao, 266580, China","Elsevier Ltd","Chem. Eng. Sci."
"https://www.scopus.com/pages/publications/105000819899?origin=resultslist","Department of Mechanical Engineering, Nandha Engineering College, Tamil Nadu, Perundurai, 638052, India","EDP Sciences","E3S Web Conf."
"https://www.scopus.com/pages/publications/105013300285?origin=resultslist","Department of Industrial Engineering and Management, College of Engineering, Peking University, Beijing, 100871, China; National Engineering Laboratory for Big Data Analysis and Applications, Peking University, Beijing, 100871, China; PKU-Changsha Institute for Computing and Digital Economy, Changsha, 410000, China; School of Urban Planning and Design, Peking University, Guangdong, Shenzhen, 518055, China","Cell Press","Nexus"
"https://www.scopus.com/pages/publications/85218413397?origin=resultslist","School of Electric and Electronic Engineering, Changchun University of Technology, Changchun, 130012, China","Elsevier Ltd","Energy"
"https://www.scopus.com/pages/publications/85215620666?origin=resultslist","Department of Electrical Engineering, Faculty of Industrial Technology, Universitas Pertamina, Jakarta, Indonesia; Department of Engineering, Faculty of Advanced Technology and Multidiscipline, Universitas Airlangga, Surabaya, Indonesia; Research Center for New and Renewable Energy Engineering, Department of Engineering, Faculty of Advanced Technology and Multidiscipline, Universitas Airlangga, Surabaya, Indonesia","Institute of Advanced Engineering and Science","Bull. Electr. Eng. Inform."
"https://www.scopus.com/pages/publications/85218899634?origin=resultslist","Department of Mechanical Engineering, Politecnico di Milano, Milan, 20156, Italy","Multidisciplinary Digital Publishing Institute (MDPI)","Electronics (Switzerland)"
"https://www.scopus.com/pages/publications/105030405193?origin=resultslist","Department of Ship Technology, Cochin University of Science and Technology, Kerala, Ernakulam, India","wiley","Artificial Intelligence for Next-Generation Energy Management"
"https://www.scopus.com/pages/publications/105002276170?origin=resultslist","China Electric Power Research Institute, Beijing, Haidian, 100192, China; State Grid Tangshan Power Supply Company, Tangshan, 063000, China; School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, Pudong, 201306, China","Multidisciplinary Digital Publishing Institute (MDPI)","Energies"
"https://www.scopus.com/pages/publications/105001033346?origin=resultslist","Grupo de Compatibilidad e Interferencia Electromagnética, Facultad de Ingeniería, Universidad Distrital Francisco José de Caldas, Bogotá, 110231, Colombia; Grupo de Investigaciónn en Alta Tensión-GRALTA, Escuela de Ingeniería Eléctrica y Electrónica, Universidad del Valle, Cali, 760015, Colombia; Proyecto Curricular de Ingeniería Electrónica, Facultad de Ingeniería, Universidad Distrital Francisco José de Caldas, Bogotá, 110231, Colombia","Multidisciplinary Digital Publishing Institute (MDPI)","Electricity."
"https://www.scopus.com/pages/publications/85204397051?origin=resultslist","Pacific Northwest National Laboratory, Richland, WA, United States","Elsevier B.V.","Future Gener Comput Syst"
"https://www.scopus.com/pages/publications/105023635625?origin=resultslist","Department of Data Science, City University of Hong Kong, Hong Kong; School of Data Science, The Chinese University of Hong Kong (Shenzhen), China","ML Research Press","Proc. Mach. Learn. Res."
"https://www.scopus.com/pages/publications/105002646761?origin=resultslist","Department of Ecology, Institute of Science and High Technology and Environmental Science, Graduate University of Advanced Technology, Kerman, Iran; Department of Water Science and Engineering, Faculty of Agriculture and Environment, Arak University, Arak, Iran; Research Institute for Water Science and Engineering, Arak University, Arak, Iran; Faculty of Electrical and Computer Engineering, Graduate University of Advanced Technology, Kerman, Iran; National Water and Energy Center, United Arab Emirates University, P.O. Box 15551, Al Ain, United Arab Emirates","IWA Publishing","Water Pract. Technol."
"https://www.scopus.com/pages/publications/85215429924?origin=resultslist","Key Laboratory of Energy Saving and Controlling in Power System of Liaoning Province, Shenyang Institute of Engineering, Shenyang, 110136, China; School of Automation, Shenyang Aerospace University, Shenyang, 110136, China; School of Computing and Mathematical Sciences, University of Leicester, Leicester, LE1 7RH, United Kingdom","Elsevier Ltd","Energy"
"https://www.scopus.com/pages/publications/105002253033?origin=resultslist","Department of Electrical Engineering, Chung Yuan Christian University, Taoyuan City, 320314, Taiwan","Multidisciplinary Digital Publishing Institute (MDPI)","Energies"
"https://www.scopus.com/pages/publications/85207633522?origin=resultslist","Department of Computer Engineering, Ramrao Adik, Institute of Technology, Maharashtra, Navi Mumbai, 400706, India; Department of Information Technology, Ramrao Adik, Institute of Technology, Maharashtra, Navi Mumbai, 400706, India","World Scientific","Int. J. Comput. Intell. Appl."
"https://www.scopus.com/pages/publications/105003549999?origin=resultslist","College of Electronics and Information Engineering, West Anhui University, Lu’an, 237012, China; Anhui Province Intelligent Hydraulic Machinery Joint Construction Subject Key Laboratory, Lu’an, 237012, China; Anhui Dabieshan Academy of Traditional Chinese Medicine, West Anhui University, Lu’an, 237012, China; College of Electrical and Optoelectronic Engineering, West Anhui University, Lu’an, 237012, China","Multidisciplinary Digital Publishing Institute (MDPI)","Biomimetics"
"https://www.scopus.com/pages/publications/85217953948?origin=resultslist","Department of Electrical Power & Machines, Faculty of Engineering, Ain Shams University, Cairo, Egypt","Ain Shams University","Ain Shams Eng. J."
"https://www.scopus.com/pages/publications/105030443453?origin=resultslist","North Carolina A&T State University, Dept. of Electrical & Computer Eng., Greensboro, 27411, NC, United States","Institute of Electrical and Electronics Engineers Inc.","North American Power Symp., NAPS"
"https://www.scopus.com/pages/publications/105022819036?origin=resultslist","Department of Electrical, Electronic and Information Engineering, Alma Mater Studiorum – University of Bologna, Viale Risorgimento 2, Bologna, 40136, Italy","Bilijipub Publisher","Adv. eng. intell. syst."
"https://www.scopus.com/pages/publications/85216491853?origin=resultslist","Institute for Computing and Information Sciences, Radboud University Nijmegen, Netherlands; Alliander N.V., Netherlands","Elsevier Ltd","Appl. Energy"
"https://www.scopus.com/pages/publications/85211378099?origin=resultslist","Guangzhou Institute of Energy Conversion, Chinese Academy of Sciences, Guangzhou, 510640, China; School of Energy Science and Engineering, University of Science and Technology of China, Hefei, 230026, China; Guangdong Electric Power Research Institute, Guangzhou, 510080, China; Department of Electrical Engineering, City University of Hong Kong, Kowloon, Hong Kong","Elsevier Ltd","Electr Power Syst Res"
"https://www.scopus.com/pages/publications/85218168722?origin=resultslist","Grupo de Compatibilidad e Interferencia Electromagnética, Facultad de Ingeniería, Universidad Distrital Francisco José de Caldas, Bogotá, 110231, Colombia; Grupo de Investigación en Alta Tensión-GRALTA, Escuela de Ingeniería Eléctrica y Electrónica, Universidad del Valle, Cali, 760015, Colombia; Department of Electrical Engineering, Faculty of Engineering, Universidad Tecnológica de Pereira, Pereira, 660003, Colombia","Elsevier B.V.","Result.  Eng."
